,beta,alpha,d,v,s,k,range_scenario,A_v_k
319,0.0,0.0,0.0,0,3,s19,133.36805228998367,0
320,0.0,0.0,0.0,0,3,s20,23.829309709598164,1
321,0.0,0.0,0.0,0,3,s21,90.78359576025402,1
322,0.0,0.0,0.0,0,3,s22,76.1262926477773,1
323,0.0,0.0,0.0,0,3,s23,116.48324740524596,0
324,0.0,0.0,0.0,0,3,s24,52.89980317941006,0
325,0.0,0.0,0.0,0,3,s25,101.35002077580911,0
326,0.0,0.0,0.0,0,3,s26,66.2832523107652,1
327,0.0,0.0,0.0,0,3,s27,44.058170718245904,1
328,0.0,0.0,0.0,0,3,s28,49.67744878784012,1
329,0.0,0.0,0.0,0,3,s29,41.17264230728735,0
330,0.0,0.0,0.0,0,3,s30,33.9438854721859,1
331,0.0,0.0,0.0,0,3,s31,68.88354896218367,1
332,0.0,0.0,0.0,0,3,s32,105.36848253079394,0
333,0.0,0.0,0.0,0,3,s33,76.65989204224581,0
334,0.0,0.0,0.0,0,3,s34,36.59715414195487,1
335,0.0,0.0,0.0,0,3,s35,69.6652102982588,0
336,0.0,0.0,0.0,0,3,s36,87.5291238673226,1
337,0.0,0.0,0.0,0,3,s37,90.05972601056098,0
338,0.0,0.0,0.0,0,3,s38,60.67291281897072,1
339,0.0,0.0,0.0,0,3,s39,11.500347111865096,1
340,0.0,0.0,0.0,0,3,s40,23.68717615654046,1
341,0.0,0.0,0.0,0,3,s41,110.1298466894568,0
342,0.0,0.0,0.0,0,3,s42,11.616909030880052,1
343,0.0,0.0,0.0,0,3,s43,73.05379353806596,1
344,0.0,0.0,0.0,0,3,s44,61.769468746514285,0
345,0.0,0.0,0.0,0,3,s45,81.89738665841813,0
346,0.0,0.0,0.0,0,3,s46,34.38087529874873,1
347,0.0,0.0,0.0,0,3,s47,40.24976752760708,1
348,0.0,0.0,0.0,0,3,s48,71.88662334295277,1
349,0.0,0.0,0.0,0,3,s49,24.62330036670579,1
350,0.0,0.0,0.0,0,3,s50,87.41060285671354,0
351,0.0,0.0,0.0,0,3,s51,119.69847273099322,0
352,0.0,0.0,0.0,0,3,s52,95.29366170551296,1
353,0.0,0.0,0.0,0,3,s53,98.40078204567212,0
354,0.0,0.0,0.0,0,3,s54,46.43780438955731,1
355,0.0,0.0,0.0,0,3,s55,118.22772701434998,1
356,0.0,0.0,0.0,0,3,s56,106.8248200296343,0
357,0.0,0.0,0.0,0,3,s57,88.61801887301223,0
358,0.0,0.0,0.0,0,3,s58,85.01830773166729,0
359,0.0,0.0,0.0,0,3,s59,43.3207630356894,1
360,0.0,0.0,0.0,0,3,s60,83.77225537579847,1
361,0.0,0.0,0.0,0,3,s61,124.81729091120803,1
362,0.0,0.0,0.0,0,3,s62,71.94324569016025,0
363,0.0,0.0,0.0,0,3,s63,152.43510690063,0
364,0.0,0.0,0.0,0,3,s64,85.52153033099114,0
365,0.0,0.0,0.0,0,3,s65,96.95039886839103,1
366,0.0,0.0,0.0,0,3,s66,49.25146558343549,1
367,0.0,0.0,0.0,0,3,s67,75.27500405408973,0
368,0.0,0.0,0.0,0,3,s68,48.64726885121132,1
369,0.0,0.0,0.0,0,3,s69,66.2836170477781,0
370,0.0,0.0,0.0,0,3,s70,40.32280921470381,1
371,0.0,0.0,0.0,0,3,s71,121.9607119677008,0
372,0.0,0.0,0.0,0,3,s72,26.78674890086369,1
373,0.0,0.0,0.0,0,3,s73,68.32484704241341,1
374,0.0,0.0,0.0,0,3,s74,105.38527738915592,0
375,0.0,0.0,0.0,0,3,s75,76.29456737119114,1
376,0.0,0.0,0.0,0,3,s76,139.92211565258725,0
377,0.0,0.0,0.0,0,3,s77,58.11111741507683,0
378,0.0,0.0,0.0,0,3,s78,65.7221357895003,0
379,0.0,0.0,0.0,0,3,s79,63.90671257494193,0
380,0.0,0.0,0.0,0,3,s80,43.55473273631217,1
381,0.0,0.0,0.0,0,3,s81,120.0425857530019,0
382,0.0,0.0,0.0,0,3,s82,48.46111732524679,1
383,0.0,0.0,0.0,0,3,s83,32.45709537380097,1
384,0.0,0.0,0.0,0,3,s84,59.3810768154674,0
385,0.0,0.0,0.0,0,3,s85,39.62931179295293,1
386,0.0,0.0,0.0,0,3,s86,62.9130113934405,0
387,0.0,0.0,0.0,0,3,s87,102.15511488739313,1
388,0.0,0.0,0.0,0,3,s88,68.3710825429039,1
389,0.0,0.0,0.0,0,3,s89,46.71807051740073,1
390,0.0,0.0,0.0,0,3,s90,60.46320139295638,1
391,0.0,0.0,0.0,0,3,s91,78.61904802345035,1
392,0.0,0.0,0.0,0,3,s92,110.72702359490016,0
